source_file,source_abs,source_lines,instrumented_lines,covered_lines,missed_instrumented_lines,line_coverage_pct,functions,covered_functions,function_coverage_pct,max_line_freq,sum_line_freq,page
src/dynamics/se/share/gbarrier_mod.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/share/gbarrier_mod.F90,79,9,9,0,100.0,3,3,100.0,2663424,8016384,ada7692dbb_gbarrier_mod.F90.html
src/dynamics/se/share/global_norms_mod.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/share/global_norms_mod.F90,971,137,77,60,56.2043795620438,4,4,100.0,13049856,28420173,c1e0a91a5f_global_norms_mod.F90.html
src/dynamics/se/share/gridgraph_mod.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/share/gridgraph_mod.F90,617,70,57,13,81.42857142857143,6,6,100.0,50233344,341155960,771304189a_gridgraph_mod.F90.html
src/dynamics/se/share/hybrid_mod.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/share/hybrid_mod.F90,613,68,48,20,70.58823529411765,5,5,100.0,54272,1910272,0cab9624b2_hybrid_mod.F90.html
src/dynamics/se/share/interpolate_mod.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/share/interpolate_mod.F90,2283,38,24,14,63.1578947368421,3,3,100.0,1031168,14447616,ddbc5901ac_interpolate_mod.F90.html
src/dynamics/se/share/ll_mod.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/share/ll_mod.F90,151,38,38,0,100.0,6,6,100.0,198234375,1190278064,820e002544_ll_mod.F90.html
src/dynamics/se/share/mass_matrix_mod.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/share/mass_matrix_mod.F90,140,29,29,0,100.0,1,1,100.0,49152,363520,d4cbf80b76_mass_matrix_mod.F90.html
src/dynamics/se/share/metagraph_mod.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/share/metagraph_mod.F90,477,88,75,13,85.22727272727273,2,2,100.0,6279168,79211000,ab9a9f06d6_metagraph_mod.F90.html
src/dynamics/se/share/namelist_mod.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/share/namelist_mod.F90,1404,302,210,92,69.5364238410596,1,1,100.0,4096,74666,ddb505c55e_namelist_mod.F90.html
src/dynamics/se/share/parallel_mod.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/share/parallel_mod.F90,666,53,44,9,83.01886792452831,3,3,100.0,262144,2875396,a71ac2e616_parallel_mod.F90.html
src/dynamics/se/share/physics_mod.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/share/physics_mod.F90,325,3,3,0,100.0,1,1,100.0,564019200,1692057600,5f8e35b23d_physics_mod.F90.html
src/dynamics/se/share/prim_advance_mod.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/share/prim_advance_mod.F90,4234,276,175,101,63.405797101449274,5,5,100.0,1128038400,50039400448,288482ef41_prim_advance_mod.F90.html
src/dynamics/se/share/prim_advection_mod.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/share/prim_advection_mod.F90,3249,423,276,147,65.2482269503546,13,13,100.0,21546518301,761089005459,fd4702ded7_prim_advection_mod.F90.html
src/dynamics/se/share/prim_driver_mod.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/share/prim_driver_mod.F90,1920,298,212,86,71.14093959731544,4,4,100.0,2143272960,6080828468,4ba754a167_prim_driver_mod.F90.html
src/dynamics/se/share/prim_si_mod.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/share/prim_si_mod.F90,517,14,14,0,100.0,2,2,100.0,526417920,1699107840,6f7da8d9ea_prim_si_mod.F90.html
src/dynamics/se/share/prim_si_ref_mod.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/share/prim_si_ref_mod.F90,552,12,1,11,8.333333333333334,1,1,100.0,512,1024,20b6552054_prim_si_ref_mod.F90.html
src/dynamics/se/share/prim_state_mod.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/share/prim_state_mod.F90,1129,218,155,63,71.10091743119266,2,2,100.0,42024960,411919546,cabf4e592d_prim_state_mod.F90.html
src/dynamics/se/share/quadrature_mod.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/share/quadrature_mod.F90,976,41,41,0,100.0,6,6,100.0,110592,825344,6af2163832_quadrature_mod.F90.html
src/dynamics/se/share/reduction_mod.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/share/reduction_mod.F90,546,72,69,3,95.83333333333333,9,9,100.0,102912,3211509,6dc6ecd036_reduction_mod.F90.html
src/dynamics/se/share/schedule_mod.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/share/schedule_mod.F90,678,193,163,30,84.4559585492228,3,3,100.0,786432,2183604,4df6b989bc_schedule_mod.F90.html
src/dynamics/se/share/spacecurve_mod.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/share/spacecurve_mod.F90,1275,91,76,15,83.51648351648352,9,9,100.0,786432,4058624,b04052bdc9_spacecurve_mod.F90.html
src/dynamics/se/share/thread_mod.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/share/thread_mod.F90,78,12,12,0,100.0,4,4,100.0,27136,178176,6abc12c296_thread_mod.F90.html
src/dynamics/se/share/time_mod.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/share/time_mod.F90,141,23,20,3,86.95652173913044,4,4,100.0,287744,2302467,a992f45c3b_time_mod.F90.html
src/dynamics/se/share/viscosity_mod.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/share/viscosity_mod.F90,1666,87,84,3,96.55172413793103,5,5,100.0,6429818880,31094691840,6ba31a574d_viscosity_mod.F90.html
src/dynamics/se/spmd_dyn.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/spmd_dyn.F90,101,17,13,4,76.47058823529412,1,1,100.0,512,2073,b17cf9b8ff_spmd_dyn.F90.html
src/dynamics/se/stepon.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/stepon.F90,563,132,89,43,67.42424242424242,5,5,100.0,2143272960,7987341312,39a48ab376_stepon.F90.html
src/dynamics/se/trunc.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/trunc.F90,33,2,2,0,100.0,1,1,100.0,512,1024,42a28e7641_trunc.F90.html
src/physics/cam/aer_rad_props.F90,iCESM1.3.1_PI_atm/components/cam/src/physics/cam/aer_rad_props.F90,715,140,55,85,39.285714285714285,4,4,100.0,184877056,1771500013,6de8a55738_aer_rad_props.F90.html
src/physics/cam/aoa_tracers.F90,iCESM1.3.1_PI_atm/components/cam/src/physics/cam/aoa_tracers.F90,430,68,25,43,36.76470588235294,6,6,100.0,52224,378380,3c541755bb_aoa_tracers.F90.html
src/physics/cam/cam3_aero_data.F90,iCESM1.3.1_PI_atm/components/cam/src/physics/cam/cam3_aero_data.F90,1021,16,13,3,81.25,1,1,100.0,512,7180,793b60765b_cam3_aero_data.F90.html
src/physics/cam/cam3_ozone_data.F90,iCESM1.3.1_PI_atm/components/cam/src/physics/cam/cam3_ozone_data.F90,220,15,12,3,80.0,1,1,100.0,512,3084,0fe9f58786_cam3_ozone_data.F90.html
src/physics/cam/cam_diagnostics.F90,iCESM1.3.1_PI_atm/components/cam/src/physics/cam/cam_diagnostics.F90,1949,929,669,260,72.01291711517761,13,13,100.0,86274240,1859554896,0de3892d04_cam_diagnostics.F90.html
src/physics/cam/carma_flags_mod.F90,iCESM1.3.1_PI_atm/components/cam/src/physics/cam/carma_flags_mod.F90,191,52,51,1,98.07692307692308,1,1,100.0,512,22544,ddd6240e63_carma_flags_mod.F90.html
src/physics/cam/carma_intr.F90,iCESM1.3.1_PI_atm/components/cam/src/physics/cam/carma_intr.F90,184,20,20,0,100.0,7,7,100.0,52224,1054720,46e8eaf85c_carma_intr.F90.html
src/physics/cam/carma_model_flags_mod.F90,iCESM1.3.1_PI_atm/components/cam/src/physics/cam/carma_model_flags_mod.F90,85,2,2,0,100.0,1,1,100.0,512,1024,cf1a68146e_carma_model_flags_mod.F90.html
src/physics/cam/check_energy.F90,iCESM1.3.1_PI_atm/components/cam/src/physics/cam/check_energy.F90,757,152,102,50,67.10526315789474,10,10,100.0,256334040,824800807,3e26ee684b_check_energy.F90.html
src/physics/cam/chem_surfvals.F90,iCESM1.3.1_PI_atm/components/cam/src/physics/cam/chem_surfvals.F90,640,123,79,44,64.22764227642277,5,5,100.0,321536,3233904,1b1d2d0615_chem_surfvals.F90.html
